,Title,Brand,Screen_Size,CPU_Model,Ram,Operating_System,Rating,Color,Graphics,Disk_size,Card_desc,Price
0,"2022 microsoft surface laptop go 12.4"" touchscreen, intel core i5-1035g1 processor, up to 13hr battery life, wifi, webcam, windows 11 pro, platinum silver (4gb ram | 256gb ssd)",Microsoft,12.4,i5,4.0,windows 11,3.9,silver,Intel,256,Integrated,29519.18
1,"hp envy 34” all-in-one desktop, nvidia geforce gtx 1650, 11th gen intel core i7-11700 processor, 32 gb ram, 512 gb ssd, wuhd ips display, windows 11 home, detachable magnetic camera (34-c0010, 2021)",HP,34.0,i7,32.0,windows 11,4.4,other,Nvidia,512,other,177694.0
2,"dell latitude 3510 business laptop black (intel i5-1135g7 4-core, 16gb ram, 256gb pcie ssd, intel uhd, 15.6"" full hd (1920x1080), wifi, bluetooth, webcam, 1xusb 3.2, 1xhdmi, sd card, win 10 pro)",Dell,15.6,i5,16.0,windows 10,4.3,black,Intel,256,Integrated,67076.0
3,"msi bravo 15 15.6"" 144hz gaming laptop: amd ryzen r5-5600h, rx 5500m, 16gb, 512gb nvme ssd, win11 (b5dd-243)",MSI,15.6,ryzen5,16.0,windows 11,4.5,black,AMD,512,other,57318.0
4,"msi latest ge76 raider gaming laptop | 17.3"" 144 hz fhd display | intel 14-core i9-12900h | 64gb ddr5 2tb ssd | nvidia rtx3060 | wifi 6 | hdmi | rj45 | thunberbolt4 | backlit kb rgb | dts | win11 pro",MSI,17.3,i9,64.0,windows 11,5.0,blue,Nvidia,2048,Dedicated,200899.18
5,"alienware m15 15.6"" gaming notebook i7-8750h 16gb ram 1tb hhd 8gb sshd black",Alienware,17.3,i7,16.0,windows 10,5.0,black,Nvidia,1024,Dedicated,147595.9
6,"excaliberpc 2022 msi pulse gl76 12ugk-256 (i7-12700h, 16gb ram, 512gb nvme ssd, rtx 3070 8gb, 17.3"" 144hz fhd, windows 11) gaming laptop",EXCaliberPC,17.3,i7,16.0,windows 11,4.1,other,Nvidia,512,Dedicated,139318.0
7,"excaliberpc 2022 msi creator z17 a12ugst-049 (i7-12700h, 32gb ram, 1tb nvme ssd, rtx 3070ti 8gb, 17"" qhd+ 165hz touch, windows 11 pro) content creation laptop",EXCaliberPC,17.0,i7,32.0,windows 11,0.0,other,Nvidia,1024,Dedicated,250018.0
8,"excaliberpc 2022 msi raider ge67hx 12ugs-013 (i7-12800hx, 16gb ram, 1tb nvme ssd, rtx 3070ti 8gb, 15.6"" qhd 240hz, windows 11 pro) gaming laptop",EXCaliberPC,15.6,i7,16.0,windows 11,0.0,other,Nvidia,1024,Dedicated,155718.0
9,"excaliberpc 2022 msi summit e13flipevo a12mt-013 (i7-1260p, 32gb ram, 1tb nvme ssd, intel iris xe, 13.4"" fhd+ touch, windows 11 pro) professional laptop",EXCaliberPC,13.4,i7,32.0,windows 11,0.0,other,Intel,1024,Integrated,127018.0
