Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_Size,Price
hp,15.6,i5,16.0,4.350696378830084,intel,512.0,69999.0
hp,15.6,i5,8.0,4.350696378830084,intel,512.0,66999.0
hp,14.0,i3,8.0,4.350696378830084,intel,512.0,66999.0
hp,16.0,ultra7,32.0,4.350696378830084,intel,1024.0,149999.0
hp,14.0,ultra7,16.0,4.350696378830084,intel,512.0,115999.0
hp,14.0,ultra5,16.0,4.350696378830084,intel,512.0,79999.0
hp,14.0,ultra7,16.0,4.350696378830084,nvidia,1024.0,156999.0
hp,14.0,ultra5,16.0,4.350696378830084,intel,512.0,92999.0
hp,16.0,ultra7,16.0,4.350696378830084,nvidia,1024.0,181999.0
hp,14.0,ultra7,16.0,4.350696378830084,intel,512.0,102999.0
hp,16.0,ultra7,32.0,4.350696378830084,nvidia,1024.0,223999.0
hp,14.0,ultra7,16.0,4.350696378830084,intel,1024.0,140999.0
hp,16.0,ultra7,16.0,4.350696378830084,nvidia,1024.0,157999.0
hp,16.0,ultra7,32.0,4.350696378830084,nvidia,1024.0,189999.0
hp,16.0,ultra7,16.0,4.350696378830084,nvidia,1024.0,196999.0
hp,15.6,ryzen9,32.0,4.350696378830084,nvidia,1024.0,204999.0
hp,15.6,ryzen9,16.0,4.350696378830084,nvidia,1024.0,219999.0
hp,16.0,ultra9,32.0,4.350696378830084,nvidia,1024.0,246999.0
hp,15.6,i7,4.0,4.350696378830084,nvidia,16.0,86263.0
hp,15.6,i5,4.0,4.350696378830084,nvidia,8.0,67093.0
hp,15.6,i5,4.0,4.350696378830084,nvidia,16.0,76678.0
hp,15.6,i7,4.0,4.350696378830084,nvidia,16.0,82000.0
hp,14.0,i5,16.0,4.350696378830084,intel,512.0,64999.0
hp,16.1,ultra7,16.0,4.350696378830084,other,1024.0,139999.0
hp,14.0,i3,4.0,4.350696378830084,intel,64.0,29679.0
hp,14.0,i3,8.0,4.350696378830084,intel,128.0,40279.0
hp,14.0,i3,8.0,4.350696378830084,intel,256.0,49819.0
hp,14.0,i3,8.0,4.350696378830084,intel,512.0,36999.0
hp,14.0,i5,16.0,4.350696378830084,intel,512.0,73499.0
hp,14.0,i3,4.0,4.350696378830084,intel,128.0,36039.0
hp,14.0,i3,8.0,4.350696378830084,intel,256.0,46639.0
