Title,Brand,RAM,HDD,CPU Model,Screen Size,Graphics,Rating,Price
"HP Laptop 39.6 cm (15.6) 15s-fq5329TU, Silver",HP,8 GB,512 GB,i5,15.6,Intel,4.2,"₹51,846"
"HP Laptop 39.6 cm (15.6) 15-fd0221TU, Silver",HP,16 GB,512 GB,i5,15.6,Intel,4.4,"₹62,499"
"HP Laptop 39.6 cm (15.6) 15-fc0156AU, Silver",HP,16 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹48,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-xd0020AX, Black",HP,8GB,16 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹119,999"
"HP Laptop 39.6 cm (15.6) 15-fc0155AU, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹45,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fc0100TU, Blue",HP,32 GB,1TB,Ultra 7,14,Intel,4.0,"₹136,999"
"HP Laptop 39.6 cm (15.6) 15s-fq5331TU, Silver",HP,8 GB,1 TB,i5,15.6,Intel,4.2,"₹56,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fc0078TU, Blue",HP,16 GB,512 GB,Ultra 5,14,Intel,4.0,"₹107,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fc0106TU, Silver",HP,16 GB,512 GB,Ultra 7,14,Intel,4.0,"₹111,999"
"HP Spectre x360 40.6 cm (16) 2-in-1 Laptop OLED 16-aa0665TU, Black",HP,32 GB,2 TB,Ultra 7,16,Intel,4.8,"₹186,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fa0038AU, Silver",HP,16 GB,512GB,Ryzen™ 5,14,AMD,4.0,"₹89,999"
"HP Spectre x360 40.6 cm (16) 2-in-1 Laptop OLED 16-aa0664TX, Blue",HP,32 GB,1 TB,Ultra 7,16,Nvidia,4.0,"₹200,999"
"HP OMEN Transcend 35.6 cm (14) Gaming Laptop 14-fb0007TX, Black",HP,16 GB,1 TB,Ultra 7,14,Nvidia,4.3,"₹160,506"
"HP Laptop 39.6 cm (15.6) 15-fd1095TU, Silver",HP,8 GB,512 GB,Core™ 3,15.6,Intel,3.0,"₹49,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fc0105TU, Silver",HP,16 GB,512 GB,Ultra 5,14,Intel,4.0,"₹99,999"
"HP Spectre x360 35.6 cm (14) 2-in-1 Laptop OLED 14-eu0556TU, Blue",HP,32 GB,1 TB,Ultra 7,14,Intel,4.1,"₹170,499"
"HP Laptop 39.6 cm (15.6) 15-fd1097TU, Silver",HP,16 GB,512 GB,Core™ 5,15.6,Intel,0.0,"₹69,999"
"HP Laptop 39.6 cm (15.6) 15-fd1100TU, Silver",HP,16 GB,512 GB,Core™ 7,15.6,Intel,2.0,"₹79,999"
"HP Laptop 39.6 cm (15.6) 15-fd1096TU, Silver",HP,8 GB,512 GB,Core™ 5,15.6,Intel,0.0,"₹66,999"
"HP Envy x360 35.6 cm (14) 2-in-1 Laptop 14-fa0052AU, Silver",HP,16 GB,512GB,Ryzen™ 7,14,AMD,4.0,"₹99,999"
"HP Laptop 39.6 cm (15.6) 15s-eq2143AU, Silver",HP,8 GB,512 GB,Ryzen™ 3,15.6,AMD,4.2,"₹35,999"
"HP Laptop 39.6 cm (15.6) 15s-fq5328TU, Silver",HP,8 GB,1 TB,i3,15.6,Intel,4.2,"₹42,521"
"HP Envy x360 39.6 cm (15.6) 2-in-1 Laptop 15-fe0028TU, Black",HP,16 GB,512 GB,i5,15.6,Intel,4.3,"₹98,999"
"HP Laptop 35.6 cm (14) 14s-dq5138TU, Silver",HP,8 GB,512 GB,i3,14,Intel,4.3,"₹42,999"
"HP Laptop 39.6 cm (15.6) 15-fd0006TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.4,"₹46,999"
"HP Laptop 39.6 cm (15.6) 15s-fq5327TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.2,"₹41,999"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16-s0095AX, Blue",HP,16 GB,512 GB,Ryzen™ 7,16.1,Nvidia,4.5,"₹84,999"
"HP Laptop 39.6 cm (15.6) 15-fc0029AU, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.3,"₹49,999"
"HP Laptop 39.6 cm (15.6) 15-hr0000TU, Silver",HP,8 GB,512 GB,i5,15.6,Intel,4.4,"₹61,999"
"HP Victus 40.9 cm (16.1) Gaming Laptop 16, Blue",HP,16 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹98,999"
"HP Laptop 39.6 cm (15.6) 15-fd0021TU, Blue",HP,8 GB,512 GB,i5,15.6,Intel,4.4,"₹59,999"
"HP Laptop 39.6 cm (15.6) 15-fd0011TU, Silver",HP,8 GB,512 GB,i5,15.6,Intel,4.4,"₹59,999"
"HP Laptop 39.6 cm (15.6) 15s-eq2144AU, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.2,"₹43,999"
"HP Laptop 39.6 cm (15.6) 15s-eq2223AU, Silver",HP,8 GB,512 GB,Ryzen™ 5,15.6,AMD,4.2,"₹41,078"
"HP Laptop 39.6 cm (15.6) 15-fd0022TU, White",HP,8 GB,512 GB,i5,15.6,Intel,4.4,"₹59,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,16 GB,1 TB,Ryzen™ 7,16.1,Nvidia,4.5,"₹133,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,32 GB,1 TB,Ryzen™ 9,16.1,Nvidia,4.5,"₹179,999"
"HP OMEN Transcend 35.6 cm (14) Gaming Laptop 14, Black",HP,8GB,32 GB,Ultra 9,14,Nvidia,4.3,"₹209,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16, Black",HP,8GB,32 GB,i9,16.1,Nvidia,4.1,"₹209,999"
"HP OMEN 40.9 cm (16.1) Gaming Laptop 16-xf0100AX, Black",HP,8GB,16 GB,Ryzen™ 9,16.1,Nvidia,4.5,"₹165,506"
"HP Pavilion 35.6 cm (14) Laptop 14-dv2053TU, Silver",HP,8 GB,512 GB,i5,14,Intel,4.0,"₹56,999"
"HP Pavilion 35.6 cm (14) Laptop 14-dv2015TU, Silver",HP,16 GB,1 TB,i7,14,Intel,4.0,"₹76,999"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew0116TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.5,"₹72,999"
"HP Pavilion 35.6 cm (14) Laptop 14-dv2014TU, Silver",HP,16 GB,512 GB,i5,14,Intel,4.0,"₹61,999"
"HP Laptop 39.6 cm (15.6) 15s-fq5326TU, Silver",HP,8 GB,512 GB,i3,15.6,Intel,4.2,"₹40,326"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1010TU, Silver",HP,16 GB,1 TB,i5,14,Intel,4.5,"₹81,999"
"HP Pavilion Plus 35.6 cm (14) Laptop 14-ew0153TU, Silver",HP,16 GB,1 TB,i7,14,Intel,4.5,"₹94,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1009TU, Gold",HP,16 GB,1 TB,i5,14,Intel,4.5,"₹81,999"
"HP Pavilion x360 35.6 cm (14) 2-in-1 Laptop 14-ek1021TU, Silver",HP,16 GB,512 GB,i7,14,Intel,4.5,"₹91,999"
