Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
HP,15.6,i5,8.0,4.2,Intel,512.0,51846.0
HP,15.6,i5,16.0,4.4,Intel,512.0,62499.0
HP,15.6,ryzen5,16.0,4.3,AMD,512.0,48999.0
HP,16.1,ryzen7,8.0,4.5,Nvidia,16.0,119999.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,45999.0
HP,14.0,ultra7,32.0,4.0,Intel,1024.0,136999.0
HP,15.6,i5,8.0,4.2,Intel,1024.0,56999.0
HP,14.0,ultra5,16.0,4.0,Intel,512.0,107999.0
HP,14.0,ultra7,16.0,4.0,Intel,512.0,111999.0
HP,16.0,ultra7,32.0,4.8,Intel,2048.0,186999.0
HP,14.0,ryzen5,16.0,4.0,AMD,512.0,89999.0
HP,16.0,ultra7,32.0,4.0,Nvidia,1024.0,200999.0
HP,14.0,ultra7,16.0,4.3,Nvidia,1024.0,160506.0
HP,15.6,i3,8.0,3.0,Intel,512.0,49999.0
HP,14.0,ultra5,16.0,4.0,Intel,512.0,99999.0
HP,14.0,ultra7,32.0,4.1,Intel,1024.0,170499.0
HP,15.6,i5,16.0,0.0,Intel,512.0,69999.0
HP,15.6,i7,16.0,2.0,Intel,512.0,79999.0
HP,15.6,i5,8.0,0.0,Intel,512.0,66999.0
HP,14.0,ryzen7,16.0,4.0,AMD,512.0,99999.0
HP,15.6,ryzen3,8.0,4.2,AMD,512.0,35999.0
HP,15.6,i3,8.0,4.2,Intel,1024.0,42521.0
HP,15.6,i5,16.0,4.3,Intel,512.0,98999.0
HP,14.0,i3,8.0,4.3,Intel,512.0,42999.0
HP,15.6,i3,8.0,4.4,Intel,512.0,46999.0
HP,15.6,i3,8.0,4.2,Intel,512.0,41999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,512.0,84999.0
HP,15.6,ryzen5,8.0,4.3,AMD,512.0,49999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,61999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,98999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,15.6,ryzen5,8.0,4.2,AMD,512.0,43999.0
HP,15.6,ryzen5,8.0,4.2,AMD,512.0,41078.0
HP,15.6,i5,8.0,4.4,Intel,512.0,59999.0
HP,16.1,ryzen7,16.0,4.5,Nvidia,1024.0,133999.0
HP,16.1,ryzen9,32.0,4.5,Nvidia,1024.0,179999.0
