,Brand,Screen_Size,CPU_Model,Ram,Rating,Graphics,Disk_size,Price
0,Microsoft,12.4,i5,4.0,3.9,Intel,256.0,29519.18
1,HP,34.0,i7,32.0,4.4,Nvidia,512.0,177694.0
2,Dell,15.6,i5,16.0,4.3,Intel,256.0,67076.0
3,MSI,15.6,ryzen5,16.0,4.5,AMD,512.0,57318.0
4,MSI,17.3,i9,64.0,5.0,Nvidia,2048.0,200899.18
5,Alienware,17.3,i7,16.0,5.0,Nvidia,1024.0,147595.9
6,EXCaliberPC,17.3,i7,16.0,4.1,Nvidia,512.0,139318.0
7,EXCaliberPC,17.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
8,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,155718.0
9,EXCaliberPC,13.4,i7,32.0,0.0,Intel,1024.0,127018.0
10,EXCaliberPC,17.3,i9,64.0,5.0,Nvidia,3072.0,356290.0
11,EXCaliberPC,16.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
12,EXCaliberPC,15.6,i9,16.0,5.0,Nvidia,512.0,147518.0
13,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,4096.0,270190.0
14,GIGABYTE,15.6,ryzen9,16.0,4.1,Nvidia,512.0,114718.0
15,Panasonic,14.0,i5,4.0,3.1,Intel,320.0,159899.18
16,MSI,15.6,i5,16.0,5.0,Nvidia,1024.0,56579.18
17,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,204918.0
18,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,1024.0,217218.0
19,EXCaliberPC,17.3,i9,32.0,5.0,Nvidia,1024.0,262318.0
20,EXCaliberPC,15.6,i9,64.0,5.0,Nvidia,4096.0,376790.0
21,MSI,17.3,i9,32.0,5.0,Nvidia,1024.0,155718.0
22,EXCaliberPC,17.0,i9,64.0,0.0,Nvidia,4096.0,425990.0
23,EXCaliberPC,15.6,i9,16.0,0.0,Nvidia,1024.0,139318.0
24,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
25,MSI,15.6,i5,32.0,4.2,Nvidia,1024.0,65518.0
26,MSI,15.6,i7,32.0,4.8,Intel,1024.0,155718.0
27,other,14.0,celeron,4.0,3.8,Intel,128.0,18859.18
28,MSI,17.3,i5,8.0,0.0,Nvidia,512.0,80257.5
29,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,135998.63999999998
30,EXCaliberPC,14.0,i5,16.0,3.0,Nvidia,512.0,90118.0
31,EXCaliberPC,16.0,i7,16.0,0.0,Nvidia,1024.0,196718.0
32,EXCaliberPC,15.6,i9,32.0,0.0,Nvidia,1024.0,229518.0
33,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,1024.0,196718.0
34,EXCaliberPC,16.0,i7,32.0,0.0,Nvidia,1024.0,295118.0
35,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,118818.0
36,EXCaliberPC,14.0,i7,16.0,3.0,Nvidia,512.0,98318.0
37,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,90118.0
38,EXCaliberPC,15.6,ryzen7,16.0,0.0,AMD,1024.0,122918.0
39,EXCaliberPC,16.0,i7,16.0,0.0,Nvidia,1024.0,132758.0
40,EXCaliberPC,15.6,i7,64.0,0.0,Nvidia,1024.0,237718.0
41,EXCaliberPC,14.0,i7,16.0,0.0,Intel,1024.0,106518.0
42,EXCaliberPC,14.0,i5,16.0,0.0,Intel,512.0,70045.22
43,EXCaliberPC,14.0,i7,16.0,0.0,Intel,1024.0,129478.0
44,other,16.2,i7,32.0,4.9,Other,512.0,237718.0
45,other,13.3,i7,16.0,2.8,Other,1024.0,120453.9
46,MSI,17.3,i7,16.0,0.0,Nvidia,512.0,101922.72
47,MSI,15.6,i7,16.0,5.0,Intel,1024.0,77950.02
48,MSI,17.3,i7,32.0,0.0,Nvidia,1024.0,135218.0
49,MSI,17.3,i7,32.0,0.0,Nvidia,1024.0,170924.9
50,MSI,16.0,i9,32.0,4.6,Nvidia,2048.0,221318.0
51,Acer,15.6,i3,4.0,4.3,Intel,128.0,19598.0
52,EXCaliberPC,17.3,i9,32.0,0.0,Nvidia,1024.0,245918.0
53,MSI,16.0,i7,32.0,4.2,Nvidia,1024.0,71340.0
54,MSI,17.3,i7,16.0,4.5,Nvidia,1024.0,126033.18
55,MSI,15.6,i5,8.0,5.0,Intel,512.0,85732.64
56,MSI,15.6,i7,8.0,3.0,Intel,1024.0,58588.18
57,EXCaliberPC,15.6,i9,64.0,0.0,Nvidia,4096.0,270190.0
58,MSI,16.0,i7,32.0,4.2,Nvidia,1024.0,71340.0
59,MSI,17.3,i9,64.0,0.0,Nvidia,2048.0,197538.0
60,MSI,17.3,i7,16.0,5.0,Nvidia,1024.0,122691.68
61,MSI,17.3,i7,32.0,0.0,Nvidia,32.0,143499.18
62,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,1024.0,163918.0
63,MSI,15.6,i5,16.0,4.1,Nvidia,1024.0,57399.18
64,MSI,17.3,i7,16.0,0.0,Nvidia,1024.0,90118.0
65,MSI,15.6,i7,64.0,3.7,Nvidia,2048.0,135218.0
66,MSI,15.6,i7,16.0,4.0,Nvidia,512.0,135218.0
67,MSI,14.1,i5,8.0,4.3,Intel,512.0,57399.18
68,MSI,14.0,i5,16.0,0.0,Intel,512.0,87928.59999999999
69,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,50758.0
70,MSI,17.3,ryzen7,16.0,5.0,AMD,512.0,122998.36
71,MSI,15.6,i7,16.0,4.5,Nvidia,512.0,129149.18
72,MSI,14.0,i7,16.0,3.1,Nvidia,1024.0,98154.0
73,EXCaliberPC,15.6,i7,32.0,5.0,Nvidia,1024.0,155718.0
74,MSI,15.6,i7,8.0,3.9,Nvidia,512.0,81918.0
75,EXCaliberPC,15.6,i7,32.0,2.5,Nvidia,1024.0,137678.0
76,MSI,17.3,i7,16.0,4.5,Nvidia,512.0,133243.44
77,MSI,17.3,i7,16.0,4.4,Nvidia,512.0,102499.18
78,MSI,14.0,i7,16.0,0.0,Nvidia,512.0,98318.0
79,MSI,15.6,i5,16.0,0.0,Nvidia,512.0,73129.24
80,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,105283.9
81,MSI,15.6,i7,32.0,4.2,Nvidia,1024.0,204918.0
82,MSI,15.6,i7,32.0,0.0,Nvidia,2048.0,368918.0
83,MSI,15.6,i5,8.0,0.0,Nvidia,512.0,55962.54
84,EXCaliberPC,17.3,i7,16.0,5.0,Nvidia,1024.0,192618.0
85,MSI,15.6,i9,32.0,3.7,Nvidia,1024.0,385399.18
86,MSI,17.3,i7,16.0,4.3,Nvidia,1024.0,172118.0
87,MSI,14.0,i7,16.0,5.0,Nvidia,512.0,89401.31999999999
88,MSI,17.3,i7,16.0,5.0,Intel,512.0,163918.0
89,EXCaliberPC,17.0,i7,32.0,0.0,Nvidia,1024.0,250018.0
90,MSI,14.0,i7,8.0,5.0,Intel,512.0,59755.04
91,MSI,15.6,i7,16.0,4.7,Nvidia,512.0,91184.0
92,EXCaliberPC,17.3,i9,64.0,5.0,Nvidia,4096.0,376790.0
93,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,73718.0
94,Lenovo,15.6,ryzen5,8.0,4.4,Nvidia,256.0,53218.0
95,MSI,15.6,i7,16.0,3.7,Nvidia,1024.0,195238.72
96,MSI,17.3,i7,32.0,4.0,Nvidia,1024.0,221318.0
97,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,131118.0
98,MSI,17.3,i9,32.0,0.0,Nvidia,1024.0,299218.0
99,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,163918.0
100,EXCaliberPC,15.6,i7,16.0,0.0,Nvidia,1024.0,155718.0
101,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,65436.0
102,MSI,15.6,i7,32.0,5.0,Intel,1024.0,180399.18
103,MSI,15.6,ryzen5,8.0,2.0,Other,256.0,57318.0
104,MSI,15.6,i7,8.0,5.0,Nvidia,512.0,72814.36
105,MSI,15.6,i7,64.0,4.2,Nvidia,1024.0,229518.0
106,MSI,15.6,i7,8.0,4.5,Nvidia,512.0,50758.0
107,MSI,15.6,i7,16.0,0.0,Nvidia,1024.0,204999.18
108,MSI,15.6,i7,16.0,5.0,Nvidia,1024.0,122918.0
109,EXCaliberPC,15.6,i7,32.0,0.0,Nvidia,512.0,114718.0
110,MSI,13.4,i5,16.0,0.0,Intel,512.0,122917.18
111,MSI,17.3,i9,32.0,4.6,Nvidia,1024.0,409918.0
112,MSI,15.6,i7,8.0,4.4,Nvidia,512.0,56578.36
113,EXCaliberPC,16.0,i7,64.0,0.0,Nvidia,1024.0,190158.0
114,MSI,14.0,i7,16.0,4.2,Nvidia,512.0,80076.28
115,EXCaliberPC,17.3,i7,16.0,0.0,Nvidia,512.0,94218.0
116,EXCaliberPC,17.3,i7,32.0,5.0,Nvidia,1024.0,147518.0
117,MSI,15.6,i7,64.0,4.4,Nvidia,1024.0,270518.0
118,MSI,15.6,i7,8.0,4.3,Nvidia,1024.0,81999.18000000001
119,MSI,16.0,i7,16.0,0.0,Nvidia,512.0,188518.0
120,EXCaliberPC,15.6,i9,16.0,0.0,Nvidia,1024.0,139318.0
121,MSI,15.6,i7,8.0,4.5,Nvidia,256.0,90199.18
122,MSI,15.6,i7,16.0,0.0,Nvidia,512.0,106518.0
123,MSI,17.3,i7,8.0,4.5,Nvidia,512.0,106599.18
